collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,1,2024-03-21 00:00:00,Verbenaceae,Glandularia,pumila,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy.","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,2,2024-03-21 00:00:00,Malvaceae,Sphaeralcea,hastulata,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,3,2024-03-21 00:00:00,Solanaceae,Chamaesaracha,conioides,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,"outer corolla white, inner part pale yellow",USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,4,2024-03-21 00:00:00,Oleaceae,Menodora,heterophylla,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,5,2024-03-21 00:00:00,Asteraceae,Erigeron,modestus,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,6,2024-03-21 00:00:00,Solanaceae,Quincula,lobata,,"Mesquite and prickly pear prairie scrub in hiking area, east side of Lake Nasworthy","Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,San Angelo Nature Trail,31.381,-100.535,1890,ft
,7,2024-04-18 00:00:00,Lamiaceae,Marrubium,vulgare,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,8,2024-04-18 00:00:00,Poaceae,GRASS1,,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,9,2024-04-18 00:00:00,Poaceae,GRASS2(Arisitida?),,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,10,2024-04-18 00:00:00,Cyperaceae,SEDGE1,,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,11,2024-04-18 00:00:00,Rubiaceae,Galium,aparine,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,12,2024-04-18 00:00:00,Apiaceae,Chaerophyllum,tainturieri,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri","flower, fruit",wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,13,2024-04-18 00:00:00,Asteraceae,senecio?,flaccidus?,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,14,2024-04-18 00:00:00,Fabaceae,Vicia,ludoviciana,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,15,2024-04-18 00:00:00,Poaceae,GRASS3,,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,16,2024-04-18 00:00:00,Verbenaceae?,?,,,Slightly upland of Dove Creek in grove of Pecan trees.,"Carya illinoensis, Marrubium vulgare, Solanum elaeagnifolium, Opuntia lindheimeri",flower,wild,,,USA,TX,Tom Green,San Angelo,Knickerbocker Ranch,31.254,-100.661,2095,ft
,17,2024-04-09 00:00:00,Asclepiadaceae,Matelea,biflora,,"Mesquite scrub in deep, loose sand within 2 miles of the Colorado River.",,flower,wild,,,USA,TX,Mitchell,Robert Lee,private ranch,32.205,-100.838,2015,ft
,18,2024-04-21 00:00:00,Brassicaceae,Lepidium,?,,"Mesquite scrub in deep, loose sand within 2 miles of the Colorado River.",,"flower, fruit",wild,,,USA,TX,Mitchell,Robert Lee,private ranch,32.205,-100.838,2015,ft
